produto,variante,codigo_ingrediente,quantidade
Esquentadinho,Combo,MAIS,0.20
Esquentadinho,Combo,OLEO,0.30
Esquentadinho,Combo,BATF,1.0
Esquentadinho,Combo,REFR,1.0
Metido,Combo,PBRI,1.0
Metido,Combo,HAMN,2.0
Metido,Combo,BACO,2.0
Metido,Combo,MAIO,0.50
Metido,Combo,LIMA,0.50
Metido,Combo,ALHO,0.50
Metido,Combo,SALS,0.50
Metido,Combo,CEBO,0.50
Metido,Combo,TEMP,1.0
Metido,Combo,MCHE,1.0
Metido,Combo,ENER,0.30
Metido,Combo,AGUA,0.30
Metido,Combo,MANT,1.0
Metido,Combo,BATF,1.0
Metido,Combo,REFR,1.0
Simpatia,Mini,PBRM,1.0
Simpatia,Mini,HAMM,1.0
Simpatia,Mini,CHED,1.0
Simpatia,Mini,QPRA,1.0
Simpatia,Mini,MAIO,0.25
Simpatia,Mini,LIMA,0.25
Simpatia,Mini,ALHO,0.25
Simpatia,Mini,SALS,0.25
Simpatia,Mini,CEBO,0.25
Simpatia,Mini,TEMP,0.50
Simpatia,Mini,CEBB,0.10
Simpatia,Mini,FARI,0.10
Simpatia,Mini,MAIS,0.10
Simpatia,Mini,OLEO,0.20
Simpatia,Mini,ENER,0.30
Simpatia,Mini,AGUA,0.30
Simpatia,Mini,CEBR,0.10
Simpatia,Mini,ACUC,0.10
Simpatia,Mini,TARE,0.10
Simpatia,Mini,MANT,0.50
Simpatia,Mini,BATF,0.50
Saidinha,Mini,PGEM,1.0
Saidinha,Mini,HAMM,1.0
Saidinha,Mini,QGOR,0.30
Saidinha,Mini,BACO,1.0
Saidinha,Mini,CEBR,0.30
Saidinha,Mini,MAIO,0.25
Saidinha,Mini,LIMA,0.25
Saidinha,Mini,ALHO,0.25
Saidinha,Mini,SALS,0.25
Saidinha,Mini,CEBO,0.25
Saidinha,Mini,TEMP,0.50
Saidinha,Mini,ENER,0.30
Saidinha,Mini,AGUA,0.30
Saidinha,Mini,MANT,0.50
Saidinha,Mini,BATF,0.50
Acanhado,Mini,PAUM,1.0
Acanhado,Mini,HAMM,1.0
Acanhado,Mini,QPRO,1.0
Acanhado,Mini,CALA,0.30
Acanhado,Mini,CEBR,0.30
Acanhado,Mini,MAIO,0.30
Acanhado,Mini,MOST,0.30
Acanhado,Mini,MEL,0.20
Acanhado,Mini,ENER,0.30
Acanhado,Mini,AGUA,0.30
Acanhado,Mini,MANT,0.50
Acanhado,Mini,BATF,0.50
Esquentadinho,Mini,PBRM,1.0
Esquentadinho,Mini,HAPM,1.0
Esquentadinho,Mini,QMUS,1.0
Esquentadinho,Mini,CEBR,0.30
Esquentadinho,Mini,CATU,0.30
Esquentadinho,Mini,MAIO,0.25
Esquentadinho,Mini,LIMA,0.25
Esquentadinho,Mini,ALHO,0.25
Esquentadinho,Mini,SALS,0.25
Esquentadinho,Mini,CEBO,0.25
Esquentadinho,Mini,TEMP,0.50
Esquentadinho,Mini,ENER,0.30
Esquentadinho,Mini,AGUA,0.30
Esquentadinho,Mini,MANT,0.50
Esquentadinho,Mini,PIME,0.30
Esquentadinho,Mini,ACUC,0.30
Esquentadinho,Mini,CEBB,0.20
Esquentadinho,Mini,FARI,0.10
Esquentadinho,Mini,MAIS,0.10
Esquentadinho,Mini,OLEO,0.30
Esquentadinho,Mini,BATF,0.50
Metido,Mini,PBRM,1.0
Metido,Mini,HAMM,2.0
Metido,Mini,BACO,1.0
Metido,Mini,MAIO,0.25
Metido,Mini,LIMA,0.25
Metido,Mini,ALHO,0.25
Metido,Mini,SALS,0.25
Metido,Mini,CEBO,0.25
Metido,Mini,TEMP,0.50
Metido,Mini,MCHE,0.50
Metido,Mini,ENER,0.30
Metido,Mini,AGUA,0.30
Metido,Mini,MANT,0.50
Metido,Mini,BATF,0.50
2 X Burguer,Padrao,HAMN,2.0
2 X Burguer,Padrao,QMUS,2.0
2 X Burguer,Padrao,PGER,1.0
2 X Burguer,Padrao,PAUS,1.0
2 X Burguer,Padrao,MAIO,0.50
2 X Burguer,Padrao,LIMA,0.50
2 X Burguer,Padrao,ALHO,0.50
2 X Burguer,Padrao,SALS,0.50
2 X Burguer,Padrao,CEBO,0.50
2 X Burguer,Padrao,TEMP,1.0
2 X Burguer,Padrao,MAIO,0.50
2 X Burguer,Padrao,MOST,0.50
2 X Burguer,Padrao,MEL,0.30
2 X Burguer,Padrao,ENER,0.30
2 X Burguer,Padrao,AGUA,0.30
2 X Burguer,Padrao,MANT,2.0
2 X Burguer,Teste,HAM1,2.0
2 X Burguer,Teste,QMUS,2.0
2 X Burguer,Teste,PGER,1.0
2 X Burguer,Teste,PAUS,1.0
2 X Burguer,Teste,MAIO,0.50
2 X Burguer,Teste,LIMA,0.50
2 X Burguer,Teste,ALHO,0.50
2 X Burguer,Teste,SALS,0.50
2 X Burguer,Teste,CEBO,0.50
2 X Burguer,Teste,TEMP,1.0
2 X Burguer,Teste,MAIO,0.50
2 X Burguer,Teste,MOST,0.50
2 X Burguer,Teste,MEL,0.30
2 X Burguer,Teste,ENER,0.30
2 X Burguer,Teste,AGUA,0.30
2 X Burguer,Teste,MANT,2.0
